HID;PID;TIME_PERIOD;REF_AREA;HHC1;HHC2;HHC3;HHC3A;HHC3B;HHC4;HHC5;INDC1;INDC_RM_18_1;INDC_RM_18_2;INDC_RM_18_3;INDC_RM_18_4;INDC_RM_18_5;INDC_RM_18_6;INDC_RM_18_7;INDC_RM_18_8;INDC_RM_18_9;INDC_RM_18_10;INDC_RM_18_11;INDC_RM_18_12;INDC_RM_18_13;INDC_RM_18_14;INDC_RM_18_15;INDC_RM_18_16;INDC_RM_18_17;INDC_RM_18_18;INDC_RM_18_19;HHC6;HHC7;HHC8;HHC12;HHC12A;HHC12B;HHC12C;HHC12E;HHC12F;HHC12G;HHC9;HHC9A;HHC9B;HH9C;HH9D;HH9E;HH9F;HH9G;HH9H;HH9I;HH9J;HH9K;HH10;HH10A;HH10B;HH10C;HH10D;HH10E;HH10F;HH10G;HH10H;HHC11A;HH11A_1;HH11A_2;HHC11B;HH11B_1;HH11B_2;HHC11C;HH11C_1;HH11C_2;HHC11D;HH11D_1;HH11D_2;HHC11E;HH11E_1;HH11E_2;HHC11F;HH11F_1;HH11F_2;IND1;IND2;IND3;IND4;IND3_1;IND3_2;IND4_1;IND4_2;IND4_3;INDC3;INDC4;IND5;IND7_1;IND7_2;INDC5;IND8_1;IND8_2;IND8;INDC6;IND6_1;IND10;IND11;IND12;IND13;IND14;IDN15;IND15_2;IND16;IND16_2;IND17;IND17_2;IND17_3;IND17_4;IND18;IND19;INDC20;IND20;IND20_2;IND35;IND36;IND37;IND38;IND34_E;IND35_E;IND34_H;IND35_H;IND36_H;IND37_H;IND38_H;INDC7;INDC7_2;IND21;IND21_2;IND21_3;IND22;IND22_2;IND23_1;IND23_2;IND23_3;IND23_4;IND24;IND24_2;IND24_3;IND24_4;IND24_5;IND24_6;IND24_7;IND24_8;IND24_9;IND51;IND52;WGHT2;HHC12_imp;HHC12A_imp;HHC12B_imp;HHC12C_imp;HHC12E_imp;HHC12F_imp;HHC12G_imp;HHC9_imp;HHC9B_imp;HHC9A_imp;HHC11A_imp;HHC11C_imp;HHC11D_imp;IND15_imp;IND15_2_imp;IND19_imp;INDC20_imp;IND20_2_imp;IND35_imp;IND36_imp;IND37_imp;IND38_imp;IND34_E_imp;IND35_E_imp;IND34_H_imp;IND35_H_imp;IND36_H_imp;IND37_H_imp;IND38_H_imp;IND21_2_imp;IND21_3_imp;IND22_imp;IND24_imp;IND24_2_imp;IND24_3_imp;IND24_4_imp;IND24_5_imp;IND24_6_imp;IND24_7_imp;IND24_8_imp;IND24_9_imp
12776;1;2020;AT;1;5;0;0;0;0;1;2;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;3;2;1850,00000000000000;1;2;2;1;2;2;2;2;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;3;1;1;1;1;AT;3;4;1;-1;-1;-1;-1;1;28;72;20,0;3;3;1;2;2;2;3;1;25;2;-1,0;-1;-1;-1;-1;10;1;5;9;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;3;1;2;3;2;-1;3;4;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;21;1;1254,222958427020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10592;3;2020;AT;4;3;0;0;0;2;2;-1;21;21;0;81;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;-1;-1;-1;-1;-1;-1;-1;-1;1;1;476,19047619047598;1;2;2;2;2;1;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;1;6;2;2;3;AT;3;4;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;-1;-1;-1;-1;-1;1;2;-1;4;-1;-1;-1;-1;1;-1;32;-1;-1;-1;-1;-1;-1;1;2;3;-1;2;3;4;2;5;3;-1;-1;-1;-1;-1;-1;-1;-1;21;2;1515,554226411010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10592;4;2020;AT;4;3;0;0;0;2;2;-1;21;21;81;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;-1;-1;-1;-1;-1;-1;-1;-1;1;1;476,19047619047598;1;2;2;2;2;1;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;1;1;2;2;3;AT;3;4;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;-1;-1;-1;-1;-1;1;2;-1;4;1;2;2;2;1;1;32;15;-1;-1;-1;-1;-1;1;2;3;-1;2;3;4;2;4;3;-1;-1;-1;-1;-1;-1;-1;-1;21;2;1515,554226411010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12793;1;2020;AT;2;5;0;0;0;0;2;2;0;95;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;7;3;4;-1;-1;-1;-1;-1;-1;-1;1;2;933,33333333333303;2;2;2;2;2;2;1;1;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;3;1;1;1;1;AT;1;2;3;-1;-1;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;2;2;-1;-1;50;1;7;12;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;8;1;2;3;2;-1;5;2;5;5;1;2;2;2;2;2;1;2;2;21;1;1226,536484112420;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12793;2;2020;AT;2;5;0;0;0;0;2;2;95;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;7;3;4;-1;-1;-1;-1;-1;-1;-1;1;2;933,33333333333303;2;2;2;2;2;2;1;1;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;3;2;2;2;2;AT;1;2;3;-1;-1;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;2;1;1;-1;50;1;7;12;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;6;11;1;1;3;2;-1;3;2;5;5;3;-1;-1;-1;-1;-1;-1;-1;-1;21;1;1226,536484112420;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12807;1;2020;AT;2;7;0;0;0;0;2;2;0;51;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;3;1;-1;-1;-1;-1;-1;-1;-1;1;2;1066,66666666666993;1;2;2;2;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;10;4;4;4;4;AT;3;4;3;-1;-1;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;1;-1;-1;1;20;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;2;3;2;3;2;-1;5;3;4;2;3;-1;-1;-1;-1;-1;-1;-1;-1;21;1;2333,108462234730;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12807;2;2020;AT;2;7;0;0;0;0;2;2;21;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;3;1;-1;-1;-1;-1;-1;-1;-1;1;2;1066,66666666666993;1;2;2;2;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;5;4;4;4;4;AT;3;4;2;2;1;-1;-1;1;47;32;38,5;3;3;1;1;0;3;3;1;30;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;3;1;2;3;2;-1;5;1;5;4;3;-1;-1;-1;-1;-1;-1;-1;-1;21;1;2333,108462234730;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12877;1;2020;AT;2;6;0;0;0;0;2;2;0;81;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;7;3;1;-1;-1;-1;-1;-1;-1;-1;3;3;1800,00000000000000;2;1;2;2;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;4;1;1;6;1;AT;1;1;1;-1;-1;-1;-1;1;74;34;42,0;2;7;-1;1;0;1;3;2;-1;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;6;11;2;1;2;2;-1;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;21;1;960,965486432931;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12877;2;2020;AT;2;6;0;0;0;0;2;2;81;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;7;3;1;-1;-1;-1;-1;-1;-1;-1;3;3;1800,00000000000000;2;1;2;2;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;4;1;1;6;1;AT;1;1;1;-1;-1;-1;-1;1;90;26;35,0;2;7;-1;1;0;1;2;2;-1;2;-1,0;-1;-1;-1;-1;10;1;6;11;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;6;11;2;1;2;2;-1;2;3;3;2;3;-1;-1;-1;-1;-1;-1;-1;-1;21;1;960,965486432931;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12890;1;2020;AT;1;15;0;0;0;0;1;2;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;2;2;1500,00000000000000;2;2;2;2;2;2;2;2;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;3;4;5,0;2;-1;-1;2;-1;-1;2;13;1;1;1;1;AT;1;1;3;-1;-1;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;2;2;-1;-1;30;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;2;3;1;3;2;-1;3;2;5;5;1;2;2;2;2;2;2;2;1;21;1;1227,695796923890;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12977;1;2020;AT;1;14;0;0;0;0;1;2;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;2;2;1500,00000000000000;2;2;2;1;2;2;2;2;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;12;3;1;3;3;AT;1;2;3;-1;-1;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;2;2;-1;-1;30;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;8;2;1;2;2;-1;3;4;3;3;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;662,658808817729;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10802;3;2020;AT;3;5;0;0;0;0;3;2;90;90;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;7;3;1;-1;-1;-1;-1;-1;-1;-1;5;5;4000,00000000000000;1;2;2;2;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;3;6;6;6;6;AT;1;1;3;-1;-1;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;2;2;-1;-1;50;1;6;11;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;8;1;2;3;2;-1;3;2;3;3;3;-1;-1;-1;-1;-1;-1;-1;-1;12;2;2075,451748372910;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10819;3;2020;AT;4;2;0;0;0;2;2;-1;21;21;0;81;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;-1;1;1;-1;-1;3;-1;-1;2;3;1285,71428571429010;1;2;2;2;2;1;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;1;1;1;1;1;AT;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;-1;-1;-1;-1;-1;1;2;-1;4;-1;-1;-1;-1;2;-1;31;-1;-1;-1;-1;-1;-1;1;2;3;-1;2;3;3;3;3;3;-1;-1;-1;-1;-1;-1;-1;-1;12;2;1173,134660815330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10881;3;2020;AT;3;3;0;0;0;1;2;-1;21;21;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;-1;-1;-1;-1;-1;-1;-1;-1;2;3;1388,88888888889005;1;2;2;2;2;2;1;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;1;1;3;2;-1;-1,0;2;-1;-1;2;-1;-1;1;1;1;1;1;1;AT;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;-1;-1;-1;-1;-1;1;1;-1;1;2;1;2;2;2;-1;23;-1;5;-1;-1;-1;-1;1;2;3;-1;2;3;1;2;3;3;-1;-1;-1;-1;-1;-1;-1;-1;12;2;531,351586818231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13076;1;2020;AT;1;14;0;0;0;0;1;2;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;3;2;1600,00000000000000;2;2;2;1;2;2;2;2;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;12;1;1;1;1;AT;2;4;3;-1;-1;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;2;2;-1;-1;30;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;10;2;2;3;2;-1;5;1;3;4;1;2;2;2;2;2;2;2;1;21;1;634,131046098704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10921;3;2020;AT;3;4;0;0;0;1;2;-1;21;21;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;-1;-1;-1;-1;-1;-1;-1;-1;5;4;2500,00000000000000;1;1;2;2;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;2;1;1;1;1;AT;1;2;3;-1;-1;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;2;2;-1;-1;50;1;3;7;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;2;1;2;3;-1;2;5;2;2;4;3;-1;-1;-1;-1;-1;-1;-1;-1;21;1;826,256520441859;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10957;3;2020;AT;3;6;0;0;0;0;3;2;21;21;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;6;3;-1;-1;-1;-1;-1;-1;-1;-1;5;5;3000,00000000000000;1;1;2;2;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;4;1;1;1;1;AT;3;4;1;-1;-1;-1;-1;1;91;61;60,0;3;3;2;1;0;2;3;1;30;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;5;1;1;3;2;-1;5;5;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;21;1;2086,950402081050;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13123;1;2020;AT;1;12;0;0;0;0;1;2;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;2;2;1500,00000000000000;1;2;2;2;2;2;2;2;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;10;1;1;1;1;AT;2;3;1;-1;-1;-1;-1;1;49;83;25,0;3;2;1;2;5;3;3;1;25;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;2;1;2;3;2;-1;4;2;3;3;3;-1;-1;-1;-1;-1;-1;-1;-1;21;1;1382,285853348980;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10967;3;2020;AT;4;3;0;0;0;2;2;-1;21;21;0;81;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;-1;-1;-1;-1;-1;-1;-1;-1;5;5;3809,52380952381009;1;1;2;2;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;1;1;1;1;1;AT;3;4;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;-1;-1;-1;-1;-1;1;2;-1;4;2;2;2;2;2;-1;36;-1;-1;-1;-1;-1;-1;1;2;3;-1;2;4;3;1;3;3;-1;-1;-1;-1;-1;-1;-1;-1;21;2;720,626174950860;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10967;4;2020;AT;4;3;0;0;0;2;2;-1;21;21;81;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;-1;-1;-1;-1;-1;-1;-1;-1;5;5;3809,52380952381009;1;1;2;2;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;1;1;1;1;1;AT;3;4;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;-1;-1;-1;-1;-1;1;1;-1;1;1;2;2;2;2;1;23;8;-1;-1;-1;-1;-1;1;2;3;-1;2;3;3;1;3;3;-1;-1;-1;-1;-1;-1;-1;-1;21;2;720,626174950860;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13126;1;2020;AT;1;8;0;0;0;0;1;2;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;5;3;2500,00000000000000;1;1;2;2;2;2;2;2;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;6;2;2;2;2;AT;2;3;1;-1;-1;-1;-1;1;46;21;42,0;3;3;1;1;0;2;2;1;25;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;6;11;1;2;3;2;-1;3;3;3;3;3;-1;-1;-1;-1;-1;-1;-1;-1;21;1;678,489086339108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10983;3;2020;AT;4;2;0;0;0;2;2;-1;21;21;0;81;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;-1;1;1;-1;-1;1;-1;-1;4;4;2380,95238095237983;1;2;2;2;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;3;4;20;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;1;1;1;3;1;AT;3;4;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;-1;-1;-1;-1;-1;1;2;-1;3;-1;-1;-1;-1;2;-1;32;-1;-1;-1;-1;-1;-1;2;1;2;-1;2;3;2;3;4;3;-1;-1;-1;-1;-1;-1;-1;-1;21;2;585,141425427980;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13142;1;2020;AT;1;12;0;0;0;0;1;2;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;2;1;1200,00000000000000;2;2;2;2;1;2;2;2;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;10;1;1;1;1;AT;3;4;3;-1;-1;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;2;1;1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;3;3;1;3;2;-1;3;1;5;1;3;-1;-1;-1;-1;-1;-1;-1;-1;21;1;1482,627954741830;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13147;1;2020;AT;1;13;0;0;0;0;1;2;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;5;3;3200,00000000000000;1;2;2;2;2;2;2;2;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;11;1;1;1;1;AT;2;3;1;-1;-1;-1;-1;1;85;23;40,0;3;4;1;1;0;3;3;1;55;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;16;2;2;3;1;-1;3;5;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;21;1;349,111026615307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11018;3;2020;AT;5;3;0;0;0;1;4;2;21;21;0;81;81;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;-1;-1;-1;-1;-1;-1;-1;-1;4;5;1964,28571428570990;1;2;2;2;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;2;1;1;1;1;AT;3;4;1;-1;-1;-1;-1;1;81;71;38,5;3;2;1;1;0;3;3;1;25;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;3;3;1;2;2;-1;2;2;3;3;3;-1;-1;-1;-1;-1;-1;-1;-1;21;1;2210,337558754120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
